社員番号,社員名,社員名カナ,生年月日,性別,所属部署,役職,入社年月日,電話番号,メールアドレス,作成日時,更新日時
100001,窪田　栄美,クボタ　エミ,1959-05-29,女性,システム開発1部,課長,1981-04-01,0463232382,2024-01-08 13:07:01,2024-01-08 13:07:01
100002,米田　啓一,ヨネダ　ケイイチ,1959-06-03,男性,システム開発3部,部長,1981-04-01,0776040213,2024-01-08 13:07:01,2024-01-08 13:07:01
100003,猪俣　智恵子,イノマタ　チエコ,1960-08-16,女性,システム開発3部,課長,1982-04-01,0875462543,2024-01-08 13:07:01,2024-01-08 13:07:01
100004,大友　百華,オオトモ　モモカ,1960-07-14,女性,人事部,部長,1982-04-01,0528891612,2024-01-08 13:07:01,2024-01-08 13:07:01
100005,小玉　雛乃,コダマ　ヒナノ,1960-12-11,女性,システム開発1部,次長,1982-04-01,0763335824,2024-01-08 13:07:01,2024-01-08 13:07:01
100006,白木　樹里,シラキ　ジュリ,1960-12-14,女性,システム開発1部,部長,1982-04-01,0775005029,2024-01-08 13:07:01,2024-01-08 13:07:01
100007,平林　佳那子,ヒラバヤシ　カナコ,1960-09-03,女性,システム開発3部,課長,1982-04-01,0887134233,2024-01-08 13:07:01,2024-01-08 13:07:01
100008,大関　健治,オオゼキ　ケンジ,1961-08-28,男性,システム開発4部,部長,1983-04-01,0985657669,2024-01-08 13:07:01,2024-01-08 13:07:01
100009,荻野　桃香,オギノ　モモカ,1961-10-12,女性,システム開発3部,次長,1983-04-01,0987288323,2024-01-08 13:07:01,2024-01-08 13:07:01
100010,川添　優花,カワゾエ　ユカ,1961-03-27,女性,システム開発5部,次長,1983-04-01,0259688606,2024-01-08 13:07:01,2024-01-08 13:07:01
100011,北川　芽依,キタガワ　メイ,1961-10-08,女性,システム開発5部,課長,1983-04-01,0762507423,2024-01-08 13:07:01,2024-01-08 13:07:01
100012,小峰　太郎,コミネ　タロウ,1961-07-22,男性,システム開発5部,一般,1983-04-01,0599799540,2024-01-08 13:07:01,2024-01-08 13:07:01
100013,土橋　希実,ツチハシ　ノゾミ,1962-05-03,女性,営業部,部長,1984-04-01,0990347087,2024-01-08 13:07:01,2024-01-08 13:07:01
100014,坂　進,バン　ススム,1962-10-05,男性,システム開発2部,部長,1984-04-01,0745099862,2024-01-08 13:07:01,2024-01-08 13:07:01
100015,米沢　浩司,ヨネザワ　コウジ,1962-12-06,男性,システム開発4部,次長,1984-04-01,0959026197,2024-01-08 13:07:01,2024-01-08 13:07:01
100016,河野　清三郎,カワノ　セイザブロウ,1963-07-24,男性,システム開発2部,次長,1985-04-01,076190514,2024-01-08 13:07:01,2024-01-08 13:07:01
100017,新保　清子,シンポ　キヨコ,1963-09-15,女性,システム開発5部,次長,1985-04-01,0232461460,2024-01-08 13:07:01,2024-01-08 13:07:01
100018,寺西　繁,テラニシ　シゲル,1965-09-16,男性,営業部,一般,1987-04-01,083369504,2024-01-08 13:07:01,2024-01-08 13:07:01
100019,金野　義彦,カネノ　ヨシヒコ,1966-12-28,男性,システム開発3部,一般,1988-04-01,0173923833,2024-01-08 13:07:01,2024-01-08 13:07:01
100020,上岡　忠三,カミオカ　チュウゾウ,1966-08-10,男性,システム開発4部,課長,1988-04-01,0232818654,2024-01-08 13:07:01,2024-01-08 13:07:01
100021,山城　正好,ヤマシロ　マサヨシ,1966-09-17,男性,システム開発5部,部長,1988-04-01,0255481975,2024-01-08 13:07:01,2024-01-08 13:07:01
100022,浅見　智子,アサミ　トモコ,1967-05-12,女性,システム開発1部,課長,1989-04-01,0830381022,2024-01-08 13:07:01,2024-01-08 13:07:01
100023,大関　尚志,オオゼキ　ヒサシ,1967-12-12,男性,システム開発1部,次長,1989-04-01,0167378514,2024-01-08 13:07:01,2024-01-08 13:07:01
100024,平林　灯,ヒラバヤシ　アカリ,1967-02-25,女性,システム開発5部,一般,1989-04-01,0765032969,2024-01-08 13:07:01,2024-01-08 13:07:01
100025,水田　梨加,ミズタ　リカ,1967-06-26,女性,システム開発5部,課長,1989-04-01,0746465114,2024-01-08 13:07:01,2024-01-08 13:07:01
100026,倉本　純子,クラモト　ジュンコ,1968-08-09,女性,システム開発5部,一般,1990-04-01,0597958271,2024-01-08 13:07:01,2024-01-08 13:07:01
100027,伏見　範明,フシミ　ノリアキ,1968-05-05,男性,システム開発3部,一般,1990-04-01,0248541174,2024-01-08 13:07:01,2024-01-08 13:07:01
100028,南田　喜代志,ミナミダ　キヨシ,1968-07-19,男性,システム開発2部,課長,1990-04-01,0898505714,2024-01-08 13:07:01,2024-01-08 13:07:01
100029,田上　隆夫,タウエ　タカオ,1969-06-19,男性,システム開発1部,課長,1991-04-01,063652816,2024-01-08 13:07:01,2024-01-08 13:07:01
100030,塚本　博司,ツカモト　ヒロシ,1969-04-03,男性,システム開発3部,次長,1991-04-01,0768036743,2024-01-08 13:07:01,2024-01-08 13:07:01
